,fullTitle,subjects,holdings
33,Freud / Jean-Jacques Wunenburger.,"Freud, Sigmund, 1856-1939, Psychoanalysis",BF 173 .F85 W8x 1985
34,Génealogie de la psychanalyse : le commencement perdu / Michel Henry.,Psychoanalysis -- History,BF 173 .H45x 1985
35,"Contemporary psychology and effective behavior / James C. Coleman, Alan G. Glaros.","Psychology, Adjustment (Psychology)",BF 121 .C58 1974
36,"Life-span development : concepts, theories, and interventions / Lónie Sugarman.",Developmental psychology,BF713 .S84 1986
37,The mantle of maturity : a history of ideas about character development / Christie W. Kiefer.,"Maturation (Psychology) -- History, Ethics -- History, Developmental psychology -- History",BF 710 .K53 1988
38,7 kinds of smart : identifying and developing your many intelligences / Thomas Armstrong.,"Ability, Intellect, Typology (Psychology)",BF 431 .A579 1993
39,"Personality : theory, measurement and research / edited by Fay Fransella.",Personality,BF 698 .P47x
40,Frames of mind : the theory of multiple intelligences / Howard Gardner.,Intellect,BF 431 .G244 1983
41,Working memory / Alan Baddeley.,Short-term memory,BF 378 .S54 B33 1986
42,Determining a minimum number of observations in factor analytic studies : measurement error effects in obtaining factor pattern stability and structural validity / by Robert R. Bubb.,"Factor analysis, Observation (Psychology) -- Statistical methods",None
43,The singular self : an introduction to the psychology of personhood / Rom Harré.,Self,BF 697 .H373x 1998
44,Cognitive styles and learning strategies : understanding style differences in learning and behaviour / Richard Riding and Stephen Rayner.,"Cognitive styles, Learning strategies, Learning, Psychology of",BF 311 .R535x 1998
45,"Man, whence, how and whither : a record of clairvoyant investigation / by Annie Besant and C. W. Leadbeater.","Clairvoyance, Theosophy, Reincarnation",BF 1325 .B48
46,"Creating minds : an anatomy of creativity seen through the lives of Freud, Einstein, Picasso, Stravinsky, Eliot, Graham, and Gandhi / Howard Gardner.","Creative ability -- Case studies, Gifted persons -- Biography",BF 408 .G33 1993
47,Assessment of children / Jerome M. Sattler.,"Children -- Intelligence testing, Ability -- Testing, Intelligence tests",BF 432 .C48 S28 1990
48,Self-actualization : theory and technology / by Joseph Sassoon.,Self-actualization (Psychology),BF 637 .S4 S29x 1988
49,The Neuropsychology of consciousness / edited by A.D. Milner & M.D. Rugg.,"Consciousness, Neuropsychology",BF 311 .N487x 1992
50,Versuch über den Zusammenhang der thierischen Natur des Menschen mit seiner geistigen : eine Abhandlung welche in höchster Gegenwart Sr. Herzoglichen Durchlaucht während den öffentlichen akademischen Prüfungen vertheidigen wird / Johann Christoph Friderich Schiller.,Psychology -- Early works to 1800,BF 113 .S35x 1959
51,Probing understanding / Richard White and Richard Gunstone.,"Comprehension -- Testing, Educational psychology",BF 325 .P68 1992
52,Psychoanalysis in its cultural context / edited by Edward Timms and Ritchie Robertson.,"Freud, Sigmund, 1856-1939, Psychoanalysis -- Austria -- History, Austria -- Civilization -- Book reviews",BF 173 .P7756 1992
53,The psychology of judgment and decision making / Scott Plous.,"Decision making, Judgment",BF 448 .P56 1993
54,"Quiet talks on power, by S. D. Gordon.",Christian life,BF 639 .G6
55,Motor learning : principles and practices / by John N. Drowatzky.,Motor learning,BF 295 .D75
56,"Aerobic exercise: strength of relationships between fitness changes and psychological changes, a repeated measures approach / by Rebecca Jewell.",Aerobic exercises -- Psychological aspects,None
57,"Mechanisms of cognitive development / Robert J. Sternberg, editor.","Cognition, Developmental psychology",BF 311 .M433 1984
58,Memory and awareness : an information-processing perspective / Roberta L. Klatzky.,"Memory, Awareness, Human information processing",BF 371 .K533 1984
59,A primer of behavioral pharmacology : concepts and principles in the behavioral analysis of drug action / Peter L. Carlton.,"Psychopharmacology -- Research, Behavioral assessment",BF207 .C28 1983
60,Vulnerability and resilience in human development : a Festschrift for Ann and Alan Clarke / edited by Barbara Tizard and Ved Varma.,"Clarke, Ann M. (Ann Margaret), Clarke, A. D. B. (Alan Douglas Benson), People with mental disabilities, Developmental psychology, Child development",BF 721 .V85x 1992
61,Journal of pediatric psychology.,Clinical child psychology -- Periodicals,None
62,"Interplay : the process of interpersonal communication / Ronald B. Adler, Lawrence B. Rosenfeld, Neil Towne.",Interpersonal communication,BF 637 .C45 A33
63,"Genderspeak : men, women, and the gentle art of verbal self-defense / Suzette Haden Elgin.","Verbal self-defense, Sex differences (Psychology), Verbal communication",BF 637 .V47 E42 1993
64,"Aerobic fitness, executive control, and emotion regulation in preadolescent children / Mark A. Lott.","aerobic fitness, executive control, emotion regulation, structural equation modeling",None
65,Magie et illusion au moyen âge / Centre universitaire d'Etudes et de recherches médiévales d'Aix.,"Literature, Medieval -- History and criticism -- Congresses, French literature -- History and criticism -- Congresses, Magic in literature -- Congresses",BF 1593 .M34x 1999
66,The skills of negotiating / Bill Scott.,Negotiation,HD 38 .S386 1981
67,Der Mensch und sein Weib : Frauen- und Männerbilder : geschichtliche Ursprünge und Perspektiven / Irene Dölling.,Sex role -- History,BF 692.2 .D65 1991
68,Social support and coping with interpersonal sport stress during early adolescence / by Sharleen Denise Hoar.,"Sports for children -- Psychological aspects, Stress management for teenagers, Stress in adolescence, High school athletes -- Social networks",None
69,The Wordsworth dictionary of the occult / André Nataf.,"Occultism -- Dictionaries, Occultism",BF 1407 .N3813 1994
70,Original kin : the search for connection among adult sisters and brothers.,"Sibling rivalry, Brothers and sisters, Adulthood -- Psychological aspects",BF 723 .S43 S16 1994
71,Dimensions of value in moral cognition / by Valerie Stander.,"Cognition, Perception, Conduct of life, Values, Ethics",BF 18.02 .S72 1990
72,Accord : a prototype system for performing automated correlations of instructional objectives and domain specifications / by Paul Edward Jones.,Education -- Aims and objectives -- Computer programs,None
73,"The adolescent brain : learning, reasoning, and decision making / edited by Valerie F. Reyna ... [et al.].","Adolescent psychology, Cognition in adolescence",BF 724 .A274 2012
74,Beyond the conscious mind : unlocking the secrets of the self / Thomas R. Blakeslee.,"Self, Self-perception, Schemas (Psychology), Left and right (Psychology), Thought and thinking",BF 697 .B57 1996
75,The culture of shame / Andrew P. Morrison.,"Shame, Guilt",BF 575 .S45 M67 1996
76,Clinical applications of learning theory / edited by Mark Haselgrove and Lee Hogarth.,"Learning, Psychology of, Psychoses, Neuroses, Mental illness",BF 318 .C55 2012
77,Fengshui in China : geomantic divination between state orthodoxy and popular religion / Ole Bruun ; foreword by Stephan Feuchtwang.,Feng shui -- China -- History,BF 1779 .F4 B78 2003
78,DNA and destiny : nature and nurture in human behavior / R. Grant Steen.,"Nature and nurture, Individual differences, Behavior genetics, Genetic psychology",BF 341 .S74 1996
79,"Drunk tank pink : and other unexpected forces that shape how we think, feel, and behave / Adam Alter.","Psychology, Applied, Environmental psychology",BF 636 .A48 2012
80,Conundrums : a critique of contemporary psychoanalysis / Jon Mills.,"Psychoanalysis -- United States, Psychoanalysis",BF 173 .M5272 2012
81,Infinite potential : what quantum physics reveals about how we should live / Lothar Schäfer ; forward by Deepak Chopra.,"Spiritual life, Quantum theory -- Miscellanea, Quantum theory -- Psychological aspects",BF 1999 .S345x 2013
82,"Global masculinities and manhood / edited by Ronald L Jackson, II and Murali Balaji ; foreword by Molefi K. Asante.","Masculinity -- Cross-cultural studies, Masculinity",BF 692.5 .G575 2011
83,The happiness agenda : a modern obsession / Simon Burnett.,"Happiness, Happiness -- United States",BF 575 .H27 B87 2012
84,Psychologie et spiritualité : à la recherche d'une interface / Réginald Richard avec la collaboration de Christine Dézé.,"Spirituality -- Psychological aspects, Mind and body, Psychology and religion, Spiritual life, Experience (Religion), Consciousness, Yoga",BF 162 .R53x 1992
85,"Race, culture and counselling / by Colin Lago in collaboration with Joyce Thompson.","Cross-cultural counseling -- Great Britain, Psychotherapy -- Great Britain",BF 637 .C6 L33 1996
86,"Handbook of psychological assessment / edited by Gerald Goldstein, Michel Hersen.","Psychometrics, Psychological tests",BF 39 .H2645 1984
87,Faces of fear / Hugh Lynn Cayce.,Fear,BF 575 .F2 C39 1980
88,Studies on femininity / edited by Alcira Mariam Alizade ; for the Committee on Women and Psychoanalysis of the International Psychoanalysis Association.,"Femininity, Sex (Psychology), Gender Identity, Life Change Events, Mothers -- psychology, Women -- psychology",BF 175.5 .F45 S78x 2003
89,Memory : fragments of a modern history / Alison Winter.,"Memory, Recollection (Psychology), Memory -- Research -- History, Recollection (Psychology) -- Research -- History, Psychology, Experimental -- History, Truth",BF 371 .W545 2012
90,Research methods and statistics for psychology / Wendy A. Schweigert.,"Psychology -- Research -- Methodology, Psychology -- Statistical methods",BF 76.5 .S337 1994
91,The neuroscience of attention : attentional control and selection / edited by George R. Mangun.,"Attention, Selectivity (Psychology), Cognitive neuroscience, Visual perception",BF 321 .A832 2012
92,Thought : a very short introduction / Tim Bayne.,Thought and thinking,BF 441 .B39 2013
93,New : understanding our need for novelty and change / Winifred Gallagher.,"Change (Psychology), New and old -- Psychological aspects, Risk-taking (Psychology)",BF 637 .C4 G35 2011
94,"Unrepresented states and the construction of meaning : clinical and theoretical contributions / edited by Howard B. Levine, Gail S. Reed, & Dominique Scarfone.",Representation (Psychoanalysis),BF 175.5 .R43 U67x 2013
95,Evolving the mind : on the nature of matter and the origin of consciousness / A.G. Cairns-Smith.,"Consciousness, Intellect, Mind and body",BF 311 .C146 1996
96,Mind in science : a history of explanations in psychology and physics / Richard L. Gregory.,"Psychology -- Philosophy, Science -- Philosophy, Physics -- Philosophy, Psychology -- History, Science -- History",BF 38 .G67 1981
97,Radical claims in Freudian psychoanalysis : point/counterpoint / edited by M. Andrew Holowchak.,"Freud, Sigmund, 1856-1939, Psychoanalysis",BF 173 .F85 R33x 2012
98,Scared sick : the role of childhood trauma in adult disease / Robin Karr-Morse ; with Meredith S. Wiley.,Psychic trauma,BF 175.5 .P75 K37 2012
99,Situations matter : understanding how context transforms your world / Sam Sommers.,"Context effects (Psychology), Decision making",BF 714 .S66 2011
100,Social metacognition / edited by Pablo Briñol and Kenneth G. DeMarree.,"Metacognition, Social psychology",BF 311 .S646 2012
101,"The Greek magical papyri in translation, including the Demotic spells / edited by Hans Dieter Betz.","Magic, Greek -- Early works to 1800, Magic, Egyptian -- Early works to 1800, Incantations -- Early works to 1800, Charms -- Early works to 1800",BF 1622 .G8 G74 1986 vol.1
102,Social judgment and decision making / edited by Joachim I. Krueger.,"Judgment -- Social aspects, Decision making, Social psychology, Knowledge, Sociology of",BF 447 .S63 2012
103,Disseminating Lacan / edited by David Pettigrew and François Raffoul.,"Lacan, Jacques, 1901-1981",BF 109 .L28 1996
104,"Ethical challenges in the behavioral and brain sciences : case studies and commentaries / edited by Robert Sternberg, Susan T. Fiske.",Psychology -- Moral and ethical aspects,BF 76.4 .E8184 2015
105,"History fulfilling prophecy, covering a number of subjects pertaining thereto.","Bible -- Prophecies, Prophecies",BF 1791 .R44
106,Future visions : the unpublished papers of Abraham Maslow / edited by Edward Hoffman.,None,BF 109 .M33 A25 1996
107,"Stress and stress management : research and applications / L. Kevin Hamberger, Jeffrey M. Lohr.",Stress (Psychology),BF 575 .S75 H33 1984
108,Molyneux's problem : three centuries of discussion on the perception of forms / by Marjolein Degenaar ; translated from the Dutch by Michael J. Collins.,"Visual perception -- History, Molyneux, William, 1656-1698, Form perception -- History, Touch -- History",BF 241 .D35 1996
109,"Reading seminars I and II : Lacan's return to Freud : seminar I, Freud's papers on technique, seminar II, The ego in Freud's theory and in the technique of psychoanalysis / edited by Richard Feldstein, Bruce Fink, and Maire Jaanus.","Lacan, Jacques, 1901-1981, Psychoanalysis",BF 109 .L28 R43 1996
110,"Making magic : religion, magic, and science in the modern world / Randall Styers.","Magic, Magic -- Religious aspects, Magic -- Social aspects",BF 1611 .S855 2004
111,How to think creatively.,None,BF 408 .H88
112,Ecology of the body : styles of behavior in human life / Joseph Lyons.,"Typology (Psychology), Personality, Somatotypes",BF 698.3 .L94 1987
113,Conceptualizing our interpersonal impressions : mental representations and internal objects / by Gillian Steggles.,"Mental representation, Attachment behavior, Object relations (Psychoanalysis)",BF 316.6 .S84x 2015
114,The long-term retention of knowledge and skills : a cognitive and instructional perspective / Marshall J. Farr.,"Memory, Learning, Psychology of",BF 371 .F28 1987
115,Amulets and superstitions.,"Amulets, Talismans, Magic, Superstition",BF 1561 .B8 1961
116,Master builders of modern psychology : from Freud to Skinner / J.D. Keehn.,"Psychology -- History -- 20th century, Psychology -- History -- 19th century, Behaviorism (Psychology) -- History",BF 105 .K44 1996
117,"The foundation of the unconscious : Schelling, Freud and the birth of the modern psyche / Matt Ffytche.","Subconsciousness, Psychoanalysis -- History, Schelling, Friedrich Wilhelm Joseph von, 1775-1854, Freud, Sigmund, 1856-1939",BF 315 .F53 2012
118,"Freudian repression : the unconscious, and the dynamics of inhibition.",Repression (Psychology),BF 175.5 .R44 B62x 2012
119,"Harmony, perspective and triadic cognition / Norman D. Cook.","Cognitive psychology, Consciousness",BF 201 .C68 2012
120,Memory and aging : current issues and future directions / edited by Moshe Naveh-Benjamin and Nobuo Ohta.,"Memory -- Age factors, Aging",BF 378 .A33 M464 2012
121,Bittersweet destiny : the stormy evolution of human behavior / Del Thiessen.,"Genetic psychology, Behavior evolution, Human behavior",BF 701 .T44 1996
122,Psikhologii͡a literaturnogo tvorchestva / Mikhail Arnaudov ; pereved s bolgarskogo D.D. Nikolaeva.,"Creation (Literary, artistic, etc.)",BF 408 .A6617
123,"Territorios, escrituras y destinos de la memoria : diálogo interdisciplinario abierto / Fabiana Rousseaux y Stella Segado (compiladoras) ; prólogo de Jorge Alemán.","Collective memory, Human rights",BF 378 .S65 T482x 2018
124,Race et intelligence / par Jean-Pierre Hébert.,"Intellect, Intelligence levels, Nature and nurture, Ethnopsychology",BF 432 .A1 H42
125,Patterns of adjustment / Richard S. Lazarus.,"Adjustment (Psychology), Stress (Psychology), Psychology, Pathological, Psychotherapy",BF 335 .L34 1976
126,"Intersensory perception and sensory integration / edited by Richard D. Walk and Herbert L. Pick, Jr.","Perception, Intersensory effects",BF 311 .I59
127,Modern perspectives on John B. Watson and classical behaviorism / edited by James T. Todd & Edward K. Morris.,"Watson, John B. (John Broadus), 1878-1958, Behaviorism (Psychology)",BF 109 .W39 M63 1994
128,"The first idea : how symbols, language, and intelligence evolved from our primate ancestors to modern humans / Stanley I. Greenspan, Stuart G. Shanker.",Evolutionary psychology,BF 698.95 .G73x 2006
129,"The psychology of control / Ellen J. Langer ; foreword by Irving L. Janis ; collaborators, Robert P. Abelson ... [et al.].",Control (Psychology),BF 632.5 .L36 1983
130,"Thinking, the expanding frontier : proceedings of the international, interdisciplinary conference on thinking held at the University of the South Pacific, January, 1982 / edited by William Maxwell ; preface by Jerome Bruner ; selected and edited by John Bishop ... [et al.].","Bateson, Gregory, 1904-1980 -- Congresses, Thought and thinking -- Congresses, Cognition and culture -- Congresses",BF 455 .T535 1983
131,The Reflective professional in education : psychological perspectives on changing contexts / edited by Carmel Jennings and Elizabeth Kennedy ; foreword by Bob Burden.,"Child psychology, Adolescent psychology, School psychology",BF 721 .R445x 1996
132,"Die Enthüllung der Zukunft : Prophetie, Prognose, Planung; von Babylon bis Wall Street / Morus (Richard Lewinsohn).",Prophecies (Occultism) -- History,BF 1793 .L47 1958
133,"The survival of images : art historians, psychoanalysts, and the ancients / Louis Rose.","Psychology -- History -- 20th century, Psychoanalysis and culture -- History -- 20th century, Art, Modern -- 20th century",BF 105 .R67 2001
134,Frūyd : ḥayātuhu wa-taḥlīluhu al-nafs ī / iʻdād Lajnat al-Rūwād wa-al-Mashāhīr bi-Dār wa-Maṭābiʻ al-Mustaqbal ; murājaʻat Aḥmad ʻAkāshah.,"Freud, Sigmund, 1856-1939, Psychoanalysts -- Austria -- Biography, Psychoanalysis",BF 173 .F85 F77 1981
135,Between losing and finding : the life of an analyst / Fred Plaut.,"Plaut, Fred, Psychoanalysts -- Biography",BF 109 .P53 A3x 2004
136,"The Piaget primer : thinking, learning, teaching / Ed Labinowicz ; ill. by Susie Pollard Frazee.","Piaget, Jean, 1896-1980, Cognition in children, Educational psychology",BF 723 .C5 L3
137,"The discursive mind / Rom Harre, Grant Gillett.",Discursive psychology,BF 201.3 .H37 1994
138,The life and behavior of living organisms : a general theory / Elliott Jaques.,"Psychology -- Philosophy, Judgment, Goal (Psychology), Decision making, Psychology, Comparative",BF 38 .J365 2002
139,The limits of attention : temporal constraints in human information processing / edited by Kimron Shapiro.,"Attention, Human information processing",BF 321 .L56 2001
140,The mind's arrows : Bayes nets and graphical causal models in psychology / Clark Glymour.,"Psychology -- Methodology, Prediction theory, Causation",BF 38.5 .G59 2001
141,"Adolescent encounters with death, bereavement, and coping / David E. Balk, Charles A. Corr, editors.","Teenagers and death, Grief in adolescence, Bereavement in adolescence, Teenagers -- Counseling of",BF 724.3 .D43 A37 2009
142,"The New Age of Russia : occult and esoteric dimensions / edited by Birgit Menzel, Michael Hagemeister and Bernice Glatzer Rosenthal.","Occultism -- Russia (Federation) -- Congresses, New Age movement -- Russia (Federation) -- Congresses, Cults -- Russia (Federation) -- Congresses, Sects -- Russia (Federation) -- Congresses",BF 1434 .R8 N49 2012
143,Imprints : the lifelong effects of the birth experience / Arthur Janov.,"Childbirth -- Psychological aspects, Prenatal influences, Psychology, Pathological",BF 713 .J35 1983
144,Brothers : 26 stories of love and rivalry / edited by Andrew Blauner ; foreword by Frank McCourt.,"Brothers, Sibling rivalry",BF 723 .S43 B774 2009
145,"lhe physiology of the senses, or, How and what we see, hear, taste, feel, and smell / by A.B. Johnson ...","Senses and sensation, Knowledge, Theory of",BF 233 .J6 1856
146,Basic Freud : psychoanalytic thought for the twenty first century / Michael Kahn.,"Freud, Sigmund, 1856-1939, Psychoanalysis",BF 173 .K32 2002
147,To sell is human : the surprising truth about moving others / Daniel H. Pink.,"Influence (Psychology), Persuasion (Psychology), Selling -- Psychological aspects",BF 774 .P56 2012
148,"Gaze-following : its development and significance / edited by Ross Flom, Kang Lee, and Darwin Muir.","Attention in infants, Interpersonal communication in infants, Social interaction in infants, Visual perception in infants",BF 720 .A85 G394x 2007
149,Rules that babies look by ; the organization of newborn visual activity/ Marshall M. Haith.,"Visual perception in children, Cognition in children, Infant psychology, Newborn infants",BF720.V57 H34
150,"Strategic interpersonal communication / edited by John A. Daly, John M. Wiemann.","Interpersonal communication, Social interaction",BF 637 .C45 C638 1994
151,Follow me : a handbook of movement activities for children / Marianne Torbert.,"Play -- Psychological aspects, Games, Child psychology, Perceptual-motor learning",BF717 .T67
152,Family matters : the importance of mattering to family in adolescence / Gregory C. Elliott.,"Adolescent psychology, Teenagers -- Family relationships, Teenagers -- Conduct of life, Parent and teenager",BF 724 .E49 2009
153,"Infant social cognition : empirical and theoretical considerations / edited by Michael E. Lamb, Lonnie R. Sherrod.","Infant psychology, Social perception in children",BF720.S63 I53
154,Dictionary of graphic images / Philip Thompson & Peter Davenport.,"Symbolism (Psychology) -- Dictionaries, Signs and symbols -- Dictionaries",BF 458 .T46 1981
155,Meaning and context : an introduction to the psychology of language / Hans Hörmann ; edited and with an introduction by Robert E. Innis.,Psycholinguistics,BF 455 .H62813 1986
156,The collected works of L.S. Vygotsky / edited by Robert W. Rieber and Aaron S. Carton ; prologue by Jerome S. Bruner : translated and with an introduction by Norris Minick.,Psychology,BF 121 .V9413 1987 vol.1
157,To have or to be? / Erich Fromm.,"Personality, Ontology",BF 698 .F746 1981
158,Involuntary autobiographical memories : an introduction to the unbidden past / Dorthe Berntsen.,Involuntary memory,BF 378 .I68 B47 2009
159,Feeling and imagination : the vibrant flux of our existence / Irving Singer.,"Emotions, Emotions and cognition, Affect (Psychology)",BF 531 .S58 2001
160,"Modeling intraindividual variability with repeated measures data : methods and applications / edited by D.S. Moskowitz, Scott L. Hershberger.",Psychometrics -- Congresses,BF 39 .M597 2002
161,"The ontogeny of human bonding systems : evolutionary origins, neural bases, and psychological manifestations / by Warren B. Miller and Joseph Lee Rodgers.","Genetic psychology, Attachment behavior",BF 701 .M53 2001
162,"The social psychology of expertise : case studies in research, professional domains, and expert roles / by Harald A. Mieg.","Expertise, Expertise -- Social aspects",BF 378 .E94 M54 2001
163,Theories of meaningfulness / Louis Narens.,"Psychology -- Statistical methods, Social sciences -- Statistical methods, Psychometrics",BF 39 .N37 2002
164,Cross-train your brain : a mental fitness program for maximizing creativity and achieving success / Stephen D. Eiffert.,"Creative ability, Creative thinking",BF 408 .E395 1999
165,Puer aeternus / Marie-Louise von Franz.,"Personality, Psychology, Pathological, Jung, C. G. (Carl Gustav), 1875-1961, Saint-Exupéry, Antoine de, 1900-1944. Petit prince. English",BF 698 .F7155 1981
166,"Schooled bodies? : negotiating adolescent validation through press, peers and parents / Majella McSharry.","Human body -- Social aspects, Body image in adolescence, Educational sociology, Teenagers",BF 724.3 .B55 M37x 2009
167,Stress management : the essential guide to thinking and working smarter / Gerard Hargreaves.,"Stress (Psychology), Stress management",BF 575 .S75 H395 1998
168,"Assessment procedures for counselors and helping professionals / Robert J. Drummond, Karyn Dayle Jones.","Psychological tests, Educational tests and measurements, Counseling",BF 176 .D78 2006
169,History of psychology : a cultural perspective / Cherie Goodenow O'Boyle.,Psychology -- History -- Textbooks,BF 81 .O26 2006
170,The unity of the senses : interrelations among the modalities / Lawrence E. Marks.,"Senses and sensation, Intersensory effects, Poetry -- Psychological aspects, Music -- Psychological aspects",BF 233 .M27
171,"The encyclopedia of psychology : new & updated / [contributors, Nina Adams [and others].",Psychology -- Dictionaries,BF 31 .P77 1981
172,The concepts of the divine in the Greek magical papyri / Eleni Pachoumi.,"Magic, Egyptian, Magic, Greek, Egypt -- Religion, Greece -- Religion",BF 1591 .P34 2017
173,Stone by stone : reflections on the psychology of C.G. Jung / edited by Andreas Schweizer and Regine Schweizer-Vüllers.,"Jung, C. G. (Carl Gustav), 1875-1961, Jungian psychology",BF 173 .J85 B3413 2017
174,Research methods in psychology : a handbook / Wendy A. Schweigert.,"Psychology -- Research -- Methodology, Psychometrics",BF 76.5 .S338x 2003
175,"Critical psychology : contributions to an historical science of the subject / edited by Charles W. Tolman, Wolfgang Maiers.",Critical psychology,BF 39.9 .C75 1991
176,The Mayan factor : path beyond technology / José Argüelles.,"Maya chronology -- Miscellanea, Indian chronology -- Mexico -- Miscellanea, Indian chronology -- Central America -- Miscellanea",BF 1999 .A6395 1987
177,Torchbearers of spiritualism /cby Mrs. St. Clair Stobart.,Spiritualism -- History,BF 1241 .S8 1971
