	Title	Call_Number
142	occultism 	1434
143	childbirth 	713
144	brothers	723
145	senses and sensation	233
146	freud	173
147	influence psychology	774
148	attention in infants	720
149	visual perception in children	720
150	interpersonal communication	637
151	play 	717
152	adolescent psychology	724
153	infant psychology	720
154	symbolism psychology 	458
155	psycholinguistics	455
156	psychology	121
157	personality	698
158	involuntary memory	378
159	emotions	531
160	psychometrics 	39
161	genetic psychology	701
162	expertise	378
163	psychology 	39
164	creative ability	408
165	personality	698
166	human body 	724.3
167	stress psychology	575
168	psychological tests	176
169	psychology 	81
170	senses and sensation	233
171	psychology 	31
172	magic	1591
173	jung	173
174	psychology 	76.5
175	critical psychology	39.9
176	maya chronology 	1999
177	spiritualism 	1241
178	typology psychology	698.3
179	astrology	1714
180	child development	721
181	psychology	636
182	freud	173
183	minnesota multiphasic personality inventory	698.8
184	experiential learning	318.5
185	sex psychology 	692
186	freud	173
187	cognition in children 	723
188	motivation psychology	503
189	quality of life	637
190	meaning psychology	455
191	behavior modification	637
192	selfperception 	18.022
193	genius	412
194	talismans 	1561
196	fear	575
197	parapsychology	1031
198	hypnotism	1141
199	hypnotism	1141
200	hypnosis	1141
202	personality assessment	698.4
203	witchcraft 	1584
204	psychology 	76.5
205	mormon women 	637
206	fantasy	175.5
207	race awareness	723
208	personality	698
209	form perception	241
210	interpersonal communication	637
211	personality	698
212	sex psychology	692
213	nature and nurture	346
214	spiritualism 	1261.2
215	affect psychology	511
216	cognition in children	723
217	spiritualism 	1242
218	astrology	1729
219	rosicrucians	1623
220	life change events 	637
221	cognition	311
222	separation psychology	575
223	psychoanalysis	173
224	astrology	1701
225	psychology	671
227	social perception 	323
228	twins 	723
229	cognition	311
230	courage	575
231	psychology	121
232	emotions 	531
233	parapsychology	1031
234	cabala	1999
235	face perception	242
236	intellect	431
237	cognition in infants	720
238	persuasion psychology	637
239	emotions	511
240	vigilance psychology 	323
241	attention	321
242	psychoanalysis	173
243	children 	575
244	fear	575
245	group counseling	637
246	biofeedback training 	319.5
247	cosmology 	1999
248	psychology	121
249	psychoanalysis 	171
250	islamic occultism	1434
251	exorcism 	1559
252	moral development	723
253	psychoanalysis	173
254	creative ability 	408
255	psychoanalysis and philosophy	175.4
256	personality	698
257	demonology	1556
258	masculinity 	692.5
259	emotions	311
260	memory	378
262	cognition in children	723
263	learning	318
264	ghosts 	1472
265	negotiation	637
266	magic	1591
267	demonology	1534
268	parapsychology 	1028.5
269	humanistic psychology	204
270	problem solving	449
271	psychoanalysis and religion	175.5
272	demonology 	1520
273	children and death	723
274	cognition	311
276	sublimation psychology	175.5
277	decision making	441
278	brothers and sisters	723
279	child psychology	721
280	freud	109
281	archetype psychology	175.5
282	adulthood	724.5
283	nature and nurture 	341
284	interpersonal relations	636
285	perception 	311
286	visualization	367
287	aversion	575
288	motivation psychology	683
289	decision making	448
290	mind and body	161
291	witchcraft 	1581
292	assertiveness psychology	575
293	phrenology	870
294	psychology 	76.5
295	cognition and culture	311
296	psychology 	76.5
297	time 	468
298	behaviorism psychology	199
299	persuasion psychology	637
300	witchcraft 	1567
301	success	637
302	self	697
303	experiential learning	318.5
304	psychoanalysis and feminism	175.4
305	lacan	175
306	negotiation 	637
308	witchcraft	1566
309	psychology 	31
310	mother and infant	720
311	wittgenstein	38
312	mind and body	161
313	freud	109
314	masculinity 	692.5
315	cognitive science	311
316	cognition in children	723
317	cognition	311
319	psychoanalysis and philosophy	175.4
320	myth 	175.5
321	attention	321
322	trials witchcraft 	1583
323	consciousness	311
324	psychology 	105
327	psychoanalysis and religion	175.4
329	psychological tests for children	722
330	selfdisclosure	697.5
331	selfperception	697
332	personality in children 	723
333	negotiation	637
334	occultism	1591
335	animal behavior	671
336	thought and thinking	441
337	paul	1301
338	personality	698
340	freud	173
341	children 	575
342	memory 	371
343	personality	698
344	love	575
345	psychology 	76.5
346	form perception	293
347	freud	173
348	cognition 	311
349	philosophy and cognitive science	311
350	anger	575
351	astrology	1714
352	psychology 	77
353	listening	323
354	choice psychology	611
355	counseling	637
356	emotions	531
357	emotions	531
358	ghosts 	1472
361	human behavior	199
362	child psychology	721
363	witchcraft 	1576
364	genius 	416
366	feng shui	1779
367	movement	295
373	counseling	637
375	adolescent psychology	724
377	androgyny psychology 	692.2
378	astrology	1714
379	dreams	1078
380	leadership	637
381	jung	109
382	auditory perception	445
383	piaget	723
384	human information processing	444
385	hallucinogenic drugs	209
386	cognitive science 	311
389	child psychology	318
391	spiritualism 	1042
393	decision making 	448
394	psychology 	125
396	witchcraft 	1584
397	bullying 	637
398	counseling	637
399	personality	698
400	astrology 	1671
401	loss psychology	575
402	skinner	38
404	procrastination	575
406	environmental psychology	353
407	satanism	1548
408	jung	109
409	selfactualization psychology	637
410	reading	456
411	trust in children	723
412	speech	455
413	selfactualization psychology	637
414	bereavement 	575
415	conduct of life	639
416	errors	323
417	hermes	1598
418	bereavement 	575
419	decision making	448
420	spiritual healing 	1275
421	psychology 	108
422	personality assessment	698.4
423	psychology 	81
424	freud	175
425	shamanism	1615
426	divination	1770
427	psychology 	76.5
428	astrology	1701
429	psychology 	38
430	psychology 	76
431	aging 	724.55
432	ability 	431
433	selfactualization psychology	637
434	conditioned response	319
435	psychoanalysis	173
436	mathematical ability	456
437	reevaluation counseling	637
438	stress psychology	575
439	jung	175.5
440	extrasensory perception	1321
441	selfperception 	697
442	apologizing	575
443	intellect	431
444	freud	175.4
445	factor analysis	39
446	adjustment psychology in old age 	724.8
447	child psychology 	722
448	group counseling	637
449	mother and infant	719
450	human beings	199
451	darwin	412
452	adolescent psychology	724
453	psychology 	81
454	psychology 	76.5
455	personality 	698
456	psychology 	38
458	personality tests	698
460	aggressiveness	575
461	adulthood 	724.5
462	psychology	121
463	prejudices in children 	723
464	psychologists 	76.4
465	emotions	531
466	intelligence tests	432
467	witchcraft 	1584
468	lacan	173
471	prophets 	1762
473	father and infant	720
476	cognitive psychology	201
477	adolescence	724
478	spiritualism 	1242
479	dream interpretation	175.5
480	psychoanalysts 	173
481	grief	575
482	conflict psychology 	503
483	counseling	637
484	none	637
485	phrenology	871
486	stress psychology	575
487	astrology 	1681
488	developmental psychology 	713.5
489	magic 	1571
490	milner	109
492	twinspsychology	723
493	astrology	1714
495	fantasy	408
496	body language	637
497	emotions in children	723
498	interpersonal communication in children	723
499	negotiation	637
500	social perception	323
501	intellect	432
502	psychoanalysis 	175
503	astrology	1714
504	moral development	723
505	grief	575
506	happiness	575
507	sex psychology	692
508	magic	1591
509	space perception	469
510	graphology	905
511	psychoanalysis	173
512	learning	318
513	imagery psychology	367
514	great sphinx egypt 	1999
516	grief in children	723
517	minnesota multiphasic personality inventory	698.8
520	psychology	57
522	emotions in literature	511
523	psychology 	31
525	adjustment psychology	335
529	stress psychology	575
536	children 	432
537	human information processing	444
540	work 	481
541	jung	173
542	jung	175.5
543	intelligence levels 	431
544	creative ability in old age 	724.85
545	sibling rivalry	723
546	année psychologique	182
547	emotions in children 	723
548	listening	323
549	freud	109
550	emotions in children	723
553	aggressiveness	575
554	psychoanalysis	173
555	devil	1548
556	satanism	1546
557	shakespeare	1517
558	psychology 	38
561	nonverbal communication	637
564	cognition	311
566	intelligence levels 	431.5
567	genius and mental illness	423
568	friendship	575
569	adolescent psychology	724
570	paraphilias	692.2
571	narcissism	575
573	immortality	1045
575	panic	575
576	intentionalism	611
578	philosophy of mind in children	723
579	selfperception 	697.5
581	masculinity	692.5
582	personality	698
583	counseling	636.6
584	counseling 	636.64
585	psychology 	95
586	psychology	175
587	freud	175.4
588	identity psychology	697
589	witchcraft 	1571.5
590	decision making	448
591	aggressiveness	575
593	freud	175.4
594	risktaking psychology	637
595	identity psychology	697
596	children and death 	723
598	aggressiveness in children	723
599	jung	109
600	counseling	637
601	gifted persons 	412
602	selfesteem in children	723
603	moral development	723
604	divination 	1768
605	gifted children 	723
607	problem solving	449
608	bereavement 	575
609	cognitive psychology	201
610	meaning psychology	455
611	play 	717
612	shortterm memory	378
613	piaget	818
614	identification psychology	175.5
615	buyse	109
618	psycholinguistics	311
619	psychology and religion	51
620	visual perception	241
621	freud	173
622	cognition	311
623	spiritualism 	1261.2
624	dreams 	1078
625	piaget	723
626	minorities 	637
627	parapsychology	1031
628	parapsychology	1031
629	parapsychology 	1021
630	levitation	1385
631	developmental psychology	713
632	dogmatism	323
634	selfperception	697.5
635	psychologists 	80.8
636	human information processing	455
637	success	637
638	memory in old age	724.85
640	psychology 	198.7
643	fatherhood 	723
644	emotions	531
645	perceptualmotor learning	295
646	memory	371
647	hypnotism	1152
648	storytelling ability in children	723
649	imagination 	408
650	psychoanalysis and culture	175.4
651	personality assessment	698.4
652	lacan	109
653	stress psychology	575
654	creative ability	411
655	cognitive science	311
656	stress in children	723
657	freud	109
658	freud	173
659	selfcontrol	632
661	learning	318
663	counseling	637
664	mother and infant	720
665	psychometrics	39
666	shadow psychoanalysis	175.5
667	memory in old age 	724.85
668	thought and thinking	441
669	selfhelp techniques 	632
671	developmental psychology 	713
672	motor learning 	295
673	cognition 	311
674	criminology	575
675	social sciences and psychoanalysis	175.4
676	phenomenological psychology	204.5
677	psychology	121
678	nature and nurture	341
679	thought and thinking	455
681	dreams	1078
682	mind and body	161
683	emotions and cognition	531
684	psychologists 	76.4
687	mind and body 	161
688	bereavement 	575
689	social skills in children	723
691	thought and thinking	441
692	performance 	323
693	memory disorders	376
694	stress psychology	575
695	spelling	456
696	dream interpretation	175.5
699	truthfulness and falsehood in adolescence	724.3
700	comprehension	325
701	social sciences and psychoanalysis	175.4
702	critical thinking	441
703	neardeath experiences	1045
704	negotiation	637
705	freud	173
706	psychology 	31
707	selfesteem	697
708	psychology 	76
710	sublimation psychology	21
711	death 	789
712	monroe	1283
713	magic 	1593
714	environmental psychology	353
715	persuasion psychology 	637
716	death 	789
717	bereavement in adolescence	724.3
718	death 	789
719	memory in children	723
720	nonverbal communication in children	723
721	astrology	1714
723	occultism	1411
724	astrology	1714
725	infant psychology	723
726	reasoning psychology	442
728	incantations	1558
729	psychological tests	176
730	freud	173
731	positive psychology	204.6
732	sex psychology 	692
733	expectation psychology	323
734	affect psychology	531
735	masculinity 	692.5
736	cognition	311
737	psychoanalysis	173
738	creation literary	408
739	emotions 	511
740	cognition 	311
741	thought and thinking	441
742	developmental psychology 	713
743	gay	697.5
744	cognition in children	723
745	personality assessment	698.4
747	minnesota multiphasic personality inventory	698.8
748	social sciences and psychoanalysis	175.4
749	lacan	109
752	psychology 	31
753	belief and doubt	773
754	witchcraft 	1581
755	psychoanalysis 	175
756	joint council on professional education in psychology	77
757	birch	311
758	intelligence levels	432
759	psychology	671
760	creative thinking 	408
761	behavior modification 	637
762	intellect	431
763	conditioned response 	319
764	burn out psychology	481
765	archetype psychology	175.5
766	adaptability psychology 	335
767	environmental psychology	353
768	leadership	637
769	sex psychology	692
771	psychological tests	176
772	death 	789
773	color 	789
774	memory	371
775	cognition 	311
776	personality and culture 	698.9
777	witchcraft 	1584
778	psychology and religion	51
779	success	637
781	success 	637
782	success	637
783	influence psychology	774
784	psychology	121
785	african americans 	432
787	critical thinking	441
788	selfactualization psychology	637
789	creative thinking	408
790	burn out psychology	481
791	cognition	311
792	psychoanalysts 	109
793	rorschach test	698.8
794	psychology 	121
795	autobiographical memory	378
796	psychology 	108
797	girard	175
798	feng shui	1779
799	decision making	441
800	projective techniques	698.7
801	self psychology	697
803	psychology 	81
804	belief and doubt	773
805	grief	575
806	psychoanalysts	173
807	death 	789
808	infant psychology	720
809	adulthood 	724.5
810	magic 	1589
811	psychology and philosophy	41
812	spiritualism	1261
813	decision making	448
814	intellect	431
815	psychology and philosophy	41
816	magic	1611
817	freud	173
819	resilience personality trait in children 	723
821	infant psychology	723
822	psychological tests	176
823	freud	173
824	motivation psychology	683
825	psychologists 	76
826	anger	575
827	self	697
828	psychology 	38
829	children 	575
831	work 	481
832	bereavement 	575
833	listening	323
834	anger in children	723
835	counseling psychology	636.6
836	selfperception	697
837	number concept in children 	723
838	environmental psychology	353
841	masculinity 	692.5
842	imagination	408
843	dreams	1078
844	motivation psychology in children	723
845	consciousness	311
846	self	697
847	jungian psychology	173
848	memory in old age	724.85
849	psychophysics 	237
850	stress psychology 	575
851	psychological tests	176
852	stress psychology 	575
853	stress psychology 	575
854	psychology	128
855	identity psychology	697
856	child psychology 	722
857	aggressiveness 	575
858	jones	697.5
859	visual perception	241
860	brothers and sisters 	723
861	cognition in children	723
863	dreams	1078
865	developmental psychobiology	723
867	psychology	51
868	psychoanalysis	173
869	death 	789
871	decision making	448
872	psychological tests 	176
874	developmental psychology 	713
876	adolescent psychology	724
877	older people 	724.85
878	freud	175.5
879	future life	1311
880	guilt	575
881	reasoning in children	723
883	archetype psychology	175.5
884	human ecology 	353.5
890	psychology 	76.5
891	winnicott	109
892	psychoanalysis	173
893	cognition	311
894	conduct of life	637
896	developmental psychology	713
897	child psychology 	722
898	change psychology	637
899	death 	789
900	parent and infant	720
901	interpersonal communication	637
902	ego psychology	175.5
903	time 	468
904	adolescent psychology	724
905	psychometrics	39
906	astrology 	1676
907	adolescent psychology	724
909	emotions	531
910	psychological tests 	176
911	humanistic psychology	204
912	nostradamus	1815
913	psychoanalysis and culture	175.4
914	reaction time	317
915	creative ability	408
916	graphology	898
917	intuition	315.5
918	psychology 	57
919	occultism	1531
920	piaget	311
922	spirit possession	1555
923	archetype psychology 	175.5
924	bereavement 	575
925	divination 	1773.2
926	helping behavior	637
927	grief	575
928	anger	575
929	psychology 	81
930	learning	318
931	minnesota multiphasic personality inventory	698.8
932	achievement motivation	683
933	human information processing	444
934	positive psychology	204.6
936	psychology	181
937	psychometrics	39
938	statnekov	1999
939	feng shui 	1779
940	self	697
941	creative ability	408
942	verbal ability in children	723
943	metacognition	311
944	reasoning psychology	442
945	women	18.022
946	hermes	1598
948	genetic psychology	701
952	psychology 	38
954	child psychology 	721
956	psychology and religion	51
961	psychology 	38.5
966	psychology and religion	51
968	judgment	447
974	forgiveness	637
980	personality and social intelligence	698.9
985	psychoanalysis	173
986	victims of bullying	637
987	listening	323
988	risktaking psychology	637
989	stress psychology	575
990	psychoanalysis and racism	175.4
991	genius 	412
992	happiness	575
993	happiness	575
994	psychology	149
995	older people 	353
996	cognitive science 	311
997	hallucinations and illusions	1051
998	thought and thinking	455
999	wilber	109
1000	psychology 	76.5
1001	new thought	639
1006	social sciences 	378
1007	psychic trauma	175.5
1008	psychometrics	39
1009	new thought	638
1010	context effects psychology	378
1012	allport	698
1013	work 	481
1016	self	697
1017	cognition in children 	723
1018	magic	1591
1019	personal construct theory 	698
1020	magic 	1589
1021	verbal behavior 	455
1022	intellect	431
1023	nature and nurture 	341
1024	learning	318
1025	psychology	121
1026	psychology 	88
1027	stress psychology	575
1028	sex differences psychology	692.2
1030	trust 	575
1031	visual perception	241
1032	imagery psychology	367
1033	psychology	121
1034	superstition 	1775
1035	memory in children	723
1036	children 	432
1037	joy	575
1038	behavior modification	637
1039	personality 	698.4
1040	helping behavior	637
1041	motivation psychology	683
1047	infant psychology	719.5
1049	thought and thinking 	441
1050	developmental psychology 	713
1053	psychology 	108
1068	sex psychology 	692
1069	academic writing	76.7
1070	emotions 	531
1071	magic	1613
1072	intellect 	431
1074	consciousness	311
1075	jung	173
1076	cognition	311
1084	spiritualism	1261
1085	social perception	323
1086	counselor and client	637
1087	adlerian psychology	175.5
1088	psychology and religion	51
1089	personality and cognition	698.9
1090	emotional maturity	710
1091	dreams 	1091
1092	new thought	639
1093	international new thought alliance	639
1094	truthfulness and falsehood 	637
1095	subconsciousness	315
1096	psychological tests	176
1097	human experimentation in psychology 	181
1098	psychology	149
1099	counseling	637
1101	intelligence tests	431
1102	developmental psychology	713.5
1103	women psychologists 	109
1104	memory	371
1106	psychoanalysis and philosophy	175.4
1107	self in children	723
1108	developmental psychology	713
1109	left and right psychology	637
1112	recognition psychology	378
1113	mind and body	161
1114	psychoanalysis	175
1115	intellectual disability	435
1117	psychology	131
1118	consciousness 	311
1119	hypnotism	1141
1120	psychology	38
1121	memory in children	723
1122	apologizing	575
1123	motivation psychology 	503
1124	goal psychology	505
1125	cognition 	724.55
1126	psychoanalysis	173
1127	thought and thinking	441
1128	child psychology	721
1129	motor ability	295
1130	psychoanalysis	173
1131	love 	575
1132	consciousness	311
1133	feng shui 	1779
1135	lacan	109
1137	psychology 	108
1144	persuasion psychology	637
1145	exceptional children 	723
1146	empathy	575
1147	space perception 	469
1148	genius	423
1149	space perception 	469
1150	psychology 	31
1151	intellect	431
1154	divination	1761
1155	prophecies	1815
1156	witchcraft 	1584
1160	symbolism of colors	1389
1161	aggressiveness	575
1162	success	637
1163	thought and thinking	441
1164	personality	698
1166	memory 	371
1167	developmental psychology	713
1168	memory 	371
1169	learning	318
1170	psychology	636
1172	behaviorism psychology	199
1173	cognition in children	723
1175	vampires 	1556
1176	negotiation	637
1177	object relations psychoanalysis	175.5
1178	guilt 	575
1179	concept learning	441
1180	psychology 	108
1181	group counseling	637
1182	psychological tests for children 	722
1183	cognition 	311
1184	mind and body	161
1185	play 	717
1186	witchcraft 	1575
1187	behavior evolution	698.95
1188	child psychology	721
1189	intellect 	431
1190	piaget	721
1191	concept learning 	311
1192	problem solving	441
1193	dreams	1078
1194	self	697
1195	memory 	371
1196	oracles	1765
1199	memory	371
1200	cognitive styles	311
1201	relaxation	637
1202	han psychology	575
1203	happiness	575
1204	imagery psychology	367
1205	helson	335
1206	motion perception vision 	241
1207	mind and body 	161
1208	reading	456
1209	piaget	717
1210	phrenology 	868
1211	cognition	311
1212	creation literary	38
1213	human information processing	455
1214	feng shui	1779
1215	anger	575
1216	piaget	723
1217	feng shui	1779
1218	transpersonal psychology	204.7
1219	mnemonics	385
1220	magic 	1589
1221	problem solving	449
1222	psychometrics 	121
1223	altruism	637
1224	death 	789
1225	contempt attitude	575
1226	death 	789
1227	sex psychology	692
1228	cognition	311
1229	problem youth 	724
1230	attachment behavior in infants	723
1231	visualization	367
1232	counseling	637
1233	selfhate psychology	697
1234	child psychology 	721
1235	psychology	121
1236	problem solving	449
1237	cognitive maps psychology	314
1238	genetic psychology	701
1239	death 	789
1240	cognition	311
1241	stress psychology	575
1242	apparitions	1468
1243	anxiety 	575
1244	sex differences psychology	698.9
1245	personality	698
1246	object relations psychoanalysis	175.5
1247	psychology 	76.7
1248	psychological tests	176
1249	hypnotism	1141
1250	attention	321
1251	psychoanalysis and philosophy	175.4
1252	critical psychology	39.9
1253	marijuana 	209
1254	psychoanalysis 	173
1255	thought and thinking	441
1256	suffering	789
1257	cabala	1611
1258	judgment	447
1259	negotiation 	637
1260	psychic trauma	175.5
1261	middle age 	724.6
1262	cabala	1611
1263	reading	456
1264	grief	575
1265	counseling	637
1266	counselors 	637
1267	cognition	311
1268	personality 	698.4
1269	disasters 	789
1270	freud	175.4
1271	cognition in children	723
1272	fear	575
1273	grandparent and child 	723
1274	selfhelp techniques 	632
1275	freud	109
1276	conduct of life	639
1277	conduct of life	639
1278	none	639
1279	none	639
1280	cognitive styles	311
1281	developmental psychology 	713
1282	thought and thinking	455
1283	psychology 	77
1284	social psychiatry	455
1285	psychology 	38.5
1286	consciousness	311
1287	attitude change	323
1288	personality	698
1289	psychoanalysis	173
1290	counseling	637
1291	behavior modification	637
1292	electronic behavior control	210
1293	memory	371
1294	motivation psychology	503
1295	character	173
1296	ego psychology 	173
1297	marital psychotherapy 	481
1298	occultism 	1434
1299	ego psychology	173
1300	psychoanalysis	173
1301	symbolism psychology	173
1302	psychoanalysis	173
1303	maturation psychology	710
1304	psychology 	76.5
1305	emotions	531
1306	separation anxiety in children	724.3
1307	stress psychology	575
1308	stress psychology	575
1309	despair	575
1310	psychology	121
1311	intellect	431
1312	age and intelligence	433
1313	freud	109
1314	selfacceptance	697
1315	observation psychology 	76.6
1316	attitude psychology	327
1317	jung	173
1318	cognitive psychology	201
1319	nature and nurture	341
1320	gibson	241
1321	identity psychology 	697
1322	visual perception	241
1323	psychology 	38.5
1324	interpersonal communication	637
1326	nostalgia	575
1327	psycholinguistics	455
1329	dependency psychology	575
1330	psychology	636
1331	behaviorism psychology	199
1333	psychological tests	176
1334	brothers and sisters	723
1336	learning 	318
1338	cognition	311
1339	problem solving in children	723
1340	imagery psychology	367
1341	personality assessment	698.5
1344	motivation psychology	503
1345	emotions 	531
1347	skinner	121
1349	parapsychology	1031
1350	guilt	575
1352	philosophy of mind in children	723
1354	altered states of consciousness	1999
1355	none	1999
1356	psychology	121
1357	bereavement 	575
1358	psychoanalysis	175
1359	yogavāsiṣṭha	1078
1360	parapsychology and medicine	1045
1361	color 	789
1362	perceptualmotor processes	295
1368	moral development	723
1369	sex psychology	692
1371	leadership 	637
1372	counseling	637
1374	learning	318
1375	future life	1311
1378	men 	692.5
1379	psychology	183
1380	counseling 	637
1382	social perception	323
1384	shortterm memory	378
1385	death 	789
1392	magic	1591
1393	habit	335
1401	creative ability	408
1402	experimental design	39
1409	jung	173
1411	childrens drawings 	723
1413	prejudices 	575
1416	human potential movement	637
1418	decision making	448
1419	mental representation	365
1420	piaget	311
1421	psychology 	38
1422	psychology 	76.7
1424	psychology	636
1426	freud	173
1427	psychology	123
1428	body image	697.5
1429	psychology	181
1430	senses and sensation 	233
1431	multidimensional scaling	39
1432	psychometrics	39
1433	psychometrics	39
1434	child psychology	721
1435	alien abduction	2050
1436	psychology 	38
1437	negotiation	637
1438	psychology	636
1439	personality	698
1440	martínbaró	109
1441	memory	371
1442	marriage counseling	636.7
1443	psychology 	76.5
1450	silence 	353.5
1451	psychology 	76.5
1452	brothers and sisters	723
1453	twins 	723
1454	infant psychology 	720
1455	humphreys	431
1456	individual differences in infants	720
1457	learning	318
1458	love	575
1459	cognition	311
1460	piaget	723
1461	psychology 	38
1462	parapsychology 	1031
1463	adjustment psychology	335
1464	love 	575
1465	persuasion psychology	637
1466	mediums	1281
1467	eddy	639
1468	time perception 	468
1469	none	640
1470	witchcraft 	1583
1471	myth 	175.5
1472	psychology 	431
1473	moral development	723
1474	transpersonal psychology	204.7
1475	emotions	511
1476	psychophysics	237
1477	nonverbal intelligence tests 	432.5
1478	personality development	723
1479	mind and body	161
1480	loneliness	575
1481	psychology	121
1482	burt	21
1485	personality assessment	698.4
1486	communication 	637
1487	scale analysis psychology 	39.5
1488	freud	173
1489	psychology	131
1491	grail 	1999
1492	interpersonal communication	637
1494	cognition in children	723
1496	bereavement in children	723
1497	control psychology	632.5
1498	selfperception	697.5
1499	group counseling	637
1500	astrology	1724
1501	personality	698
1502	dreams	1091
1503	developmental psychology	713.5
1504	psychology	121
1505	philosophy	809.8
1506	skinner	319.5
1507	expertise 	378
1508	bullying prevention program	637
1509	individuality	697
1512	identification psychology 	175
1513	intentionalism	619.5
1514	recollection psychology	371
1515	critical thinking	441
1516	behavior modification 	637
1517	play 	717
1518	child development	721
1519	porter family	1576
1520	evolutionary psychology	698.95
1521	emotions in children	723
1522	personality	698
1523	curiosity	323
1524	psychoanalysis 	175.4
1525	joint attention	323
1526	leadership	637
1527	success	637
1528	object relations psychoanalysis	175.5
1529	despair	575
1530	women 	341
1531	negotiation 	637
1532	leadership	637
1533	leadership	637
1534	friendship	575
1535	leadership	637
1536	social group work	637
1537	writing 	456
1538	piaget	723
1539	psychology 	121
1540	piaget	723
1541	grief	575
1542	children and death	723
1543	dogmatism	323
1544	time perception	468
1545	temperament	798
1546	identity psychology	697
1547	psychology	121
1548	psychoanalysis	173
1551	narcissism	575
1552	emotions 	511
1555	cognition in children	723
1556	psychoanalysts	173
1557	bereavement 	575
1558	cognition	311
1559	developmental psychology 	121
1560	creative ability	408
1561	social perception	323
1562	psychoanalysis	173
1563	psychology 	76.5
1564	conduct of life 	637
1565	anger 	575
1566	interpersonal communication	637
1567	counseling	636.6
1568	love	575
1570	schemas psychology	395
1571	lacan	109
1572	children 	431
1573	witchcraft 	1571
1574	selfcontrol	632
1575	emotions 	531
1576	freud	175.4
1577	negotiation	637
1578	association of ideas	21
1579	jungian psychology	173
1580	psychoanalysis	21
1581	physiological optics	21
1582	psychology 	121
1583	autobiographical memory 	378
1584	witchcraft 	1583
1585	death 	789
1586	occultism	1411
1587	feng shui 	1779
1588	psychology 	31
1589	personality 	698
1590	intelligence tests for preliterates	432.5
1591	psychology 	181
1592	communication in psychology 	76.7
1593	psychology 	76.5
1594	adler	175
1595	psychologists 	76.4
1596	freud	173
1597	psychology 	76.5
1598	cognition	311
1600	selfactualization psychology	575
1601	bendergestalt test	204
1603	intimacy psychology	575
1604	wechsler intelligence scale for children	432.5
1605	human behavior	149
1606	space perception	469
1607	death	789
1608	freud	109
1609	memory	371
1610	attention 	321
1611	psychoanalysis and culture	175.4
1612	occultism 	1434
1614	fear in children	723
1615	child psychology 	721
1616	goal psychology	504
1617	human information processing	444
1618	connectionism	311
1619	counseling	637
1620	reading	456
1621	cognition in children 	723
1622	psychology 	76.8
1623	negotiation 	637
1624	cognition 	311
1626	psychology 	38
1627	counseling	637
1628	cognition 	724.55
1629	bereavement 	575
1630	object relations psychoanalysis	175.5
1631	psychology 	38
1632	stress psychology	575
1633	environmental psychology 	353
1634	intelligence tests 	431
