,Title,Call_Number
23,Success Awareness Ability Incentive Psychology,BF636-637:Applied psychology
24,Authority Control Psychology Men Women,BF1-37:Psychology
25,Psychoanalysis Sex Psychology Ego Psychology Death  Psychological aspects Hysteria Narcissism,BF173-175:Psychoanalysis
26,Witchcraft  Germany  History Trials Witchcraft  Germany  History,BF1562-1584:Witchcraft
27,Brainwashing,BF608-635:Will. Volition. Choice. Control
28,Human behavior Control Psychology Attention Selfperception Feedback Psychology Behaviorism Psychology,BF608-635:Will. Volition. Choice. Control
29,Psychoanalysis and philosophy Psychoanalysis and literature,BF173-175:Psychoanalysis
30,Trials Witchcraft  Massachusetts  Salem Witchcraft  Massachusetts  Salem  History  17th century Salem Mass  Social conditions,BF1562-1584:Witchcraft
31,Social skills in children  Study and teaching Social interaction in children  Study and teaching,BF712-724:Developmental psychology
32,Electronic behavior control Brain  Localization of functions Control Psychology Brain stimulation,BF210-230:Psychology
33,Freud Sigmund 18561939 Psychoanalysis,BF173-175:Psychoanalysis
34,Psychoanalysis  History,BF173-175:Psychoanalysis
35,Psychology Adjustment Psychology,BF65-172:Psychology
36,Developmental psychology,BF712-724:Developmental psychology
37,Maturation Psychology  History Ethics  History Developmental psychology  History,BF699-711:Genetic Psychology
38,Ability Intellect Typology Psychology,BF309-499:Consciousness. Congition
39,Personality,BF698:Personality
40,Intellect,BF309-499:Consciousness. Congition
41,Shortterm memory,BF309-499:Consciousness. Congition
43,Self,BF697:Differential psychology. Individuality. Self
44,Cognitive styles Learning strategies Learning Psychology of,BF309-499:Consciousness. Congition
45,Clairvoyance Theosophy Reincarnation,BF1228-1389:Spiritualism
46,Creative ability  Case studies Gifted persons  Biography,BF309-499:Consciousness. Congition
47,Children  Intelligence testing Ability  Testing Intelligence tests,BF309-499:Consciousness. Congition
48,Selfactualization Psychology,BF636-637:Applied psychology
49,Consciousness Neuropsychology,BF309-499:Consciousness. Congition
50,Psychology  Early works to 1800,BF65-172:Psychology
51,Comprehension  Testing Educational psychology,BF309-499:Consciousness. Congition
52,Freud Sigmund 18561939 Psychoanalysis  Austria  History Austria  Civilization  Book reviews,BF173-175:Psychoanalysis
53,Decision making Judgment,BF309-499:Consciousness. Congition
54,Christian life,"BF638-648:New Thought. Menticulture, etc."
55,Motor learning,BF231-299:Sensation. Aesthesiology
57,Cognition Developmental psychology,BF309-499:Consciousness. Congition
58,Memory Awareness Human information processing,BF309-499:Consciousness. Congition
59,Psychopharmacology  Research Behavioral assessment,BF207-209:Psychotropic drugs and other substances
60,Clarke Ann M Ann Margaret Clarke A D B Alan Douglas Benson People with mental disabilities Developmental psychology Child development,BF712-724:Developmental psychology
62,Interpersonal communication,BF636-637:Applied psychology
63,Verbal selfdefense Sex differences Psychology Verbal communication,BF636-637:Applied psychology
65,Literature Medieval  History and criticism  Congresses French literature  History and criticism  Congresses Magic in literature  Congresses,BF1585-1623:Magic. Hermetics. Necromancy
66,Negotiation,BF38-64:Philosophy
67,Sex role  History,BF692:Psychology of Sex. Sexual Behavior
69,Occultism  Dictionaries Occultism,BF1404-1443:Occult sciences
70,Sibling rivalry Brothers and sisters Adulthood  Psychological aspects,BF712-724:Developmental psychology
71,Cognition Perception Conduct of life Values Ethics,BF1-37:Psychology
73,Adolescent psychology Cognition in adolescence,BF712-724:Developmental psychology
74,Self Selfperception Schemas Psychology Left and right Psychology Thought and thinking,BF697:Differential psychology. Individuality. Self
75,Shame Guilt,BF511-593:Affection. Feeling. Emotion
76,Learning Psychology of Psychoses Neuroses Mental illness,BF309-499:Consciousness. Congition
77,Feng shui  China  History,BF1745-1779:Oracles. Sibyls. Diviniations
78,Nature and nurture Individual differences Behavior genetics Genetic psychology,BF309-499:Consciousness. Congition
79,Psychology Applied Environmental psychology,BF636-637:Applied psychology
80,Psychoanalysis  United States Psychoanalysis,BF173-175:Psychoanalysis
81,Spiritual life Quantum theory  Miscellanea Quantum theory  Psychological aspects,BF1892-2049:Occult sciences
82,Masculinity  Crosscultural studies Masculinity,BF692:Psychology of Sex. Sexual Behavior
83,Happiness Happiness  United States,BF511-593:Affection. Feeling. Emotion
84,Spirituality  Psychological aspects Mind and body Psychology and religion Spiritual life Experience Religion Consciousness Yoga,BF65-172:Psychology
85,Crosscultural counseling  Great Britain Psychotherapy  Great Britain,BF636-637:Applied psychology
86,Psychometrics Psychological tests,BF38-64:Philosophy
87,Fear,BF511-593:Affection. Feeling. Emotion
88,Femininity Sex Psychology Gender Identity Life Change Events Mothers  psychology Women  psychology,BF173-175:Psychoanalysis
89,Memory Recollection Psychology Memory  Research  History Recollection Psychology  Research  History Psychology Experimental  History Truth,BF309-499:Consciousness. Congition
90,Psychology  Research  Methodology Psychology  Statistical methods,BF65-172:Psychology
91,Attention Selectivity Psychology Cognitive neuroscience Visual perception,BF309-499:Consciousness. Congition
92,Thought and thinking,BF309-499:Consciousness. Congition
93,Change Psychology New and old  Psychological aspects Risktaking Psychology,BF636-637:Applied psychology
94,Representation Psychoanalysis,BF173-175:Psychoanalysis
95,Consciousness Intellect Mind and body,BF309-499:Consciousness. Congition
96,Psychology  Philosophy Science  Philosophy Physics  Philosophy Psychology  History Science  History,BF38-64:Philosophy
97,Freud Sigmund 18561939 Psychoanalysis,BF173-175:Psychoanalysis
98,Psychic trauma,BF173-175:Psychoanalysis
99,Context effects Psychology Decision making,BF712-724:Developmental psychology
100,Metacognition Social psychology,BF309-499:Consciousness. Congition
101,Magic Greek  Early works to 1800 Magic Egyptian  Early works to 1800 Incantations  Early works to 1800 Charms  Early works to 1800,BF1585-1623:Magic. Hermetics. Necromancy
102,Judgment  Social aspects Decision making Social psychology Knowledge Sociology of,BF309-499:Consciousness. Congition
103,Lacan Jacques 19011981,BF65-172:Psychology
104,Psychology  Moral and ethical aspects,BF65-172:Psychology
105,Bible  Prophecies Prophecies,BF1783-1815:Seers. Prophets. Prophecies
106,None,BF65-172:Psychology
107,Stress Psychology,BF511-593:Affection. Feeling. Emotion
108,Visual perception  History Molyneux William 16561698 Form perception  History Touch  History,BF231-299:Sensation. Aesthesiology
109,Lacan Jacques 19011981 Psychoanalysis,BF65-172:Psychology
110,Magic Magic  Religious aspects Magic  Social aspects,BF1585-1623:Magic. Hermetics. Necromancy
111,None,BF309-499:Consciousness. Congition
112,Typology Psychology Personality Somatotypes,BF698:Personality
113,Mental representation Attachment behavior Object relations Psychoanalysis,BF309-499:Consciousness. Congition
114,Memory Learning Psychology of,BF309-499:Consciousness. Congition
115,Amulets Talismans Magic Superstition,BF1501-1561:Demonology. Satanism. Possession
116,Psychology  History  20th century Psychology  History  19th century Behaviorism Psychology  History,BF65-172:Psychology
117,Subconsciousness Psychoanalysis  History Schelling Friedrich Wilhelm Joseph von 17751854 Freud Sigmund 18561939,BF309-499:Consciousness. Congition
118,Repression Psychology,BF173-175:Psychoanalysis
119,Cognitive psychology Consciousness,BF199-202:Psychology
120,Memory  Age factors Aging,BF309-499:Consciousness. Congition
121,Genetic psychology Behavior evolution Human behavior,BF699-711:Genetic Psychology
122,Creation Literary artistic etc,BF309-499:Consciousness. Congition
123,Collective memory Human rights,BF309-499:Consciousness. Congition
124,Intellect Intelligence levels Nature and nurture Ethnopsychology,BF309-499:Consciousness. Congition
125,Adjustment Psychology Stress Psychology Psychology Pathological Psychotherapy,BF309-499:Consciousness. Congition
126,Perception Intersensory effects,BF309-499:Consciousness. Congition
127,Watson John B John Broadus 18781958 Behaviorism Psychology,BF65-172:Psychology
128,Evolutionary psychology,BF698:Personality
129,Control Psychology,BF608-635:Will. Volition. Choice. Control
130,Bateson Gregory 19041980  Congresses Thought and thinking  Congresses Cognition and culture  Congresses,BF309-499:Consciousness. Congition
131,Child psychology Adolescent psychology School psychology,BF712-724:Developmental psychology
132,Prophecies Occultism  History,BF1783-1815:Seers. Prophets. Prophecies
133,Psychology  History  20th century Psychoanalysis and culture  History  20th century Art Modern  20th century,BF65-172:Psychology
134,Freud Sigmund 18561939 Psychoanalysts  Austria  Biography Psychoanalysis,BF173-175:Psychoanalysis
135,Plaut Fred Psychoanalysts  Biography,BF65-172:Psychology
136,Piaget Jean 18961980 Cognition in children Educational psychology,BF712-724:Developmental psychology
137,Discursive psychology,BF199-202:Psychology
138,Psychology  Philosophy Judgment Goal Psychology Decision making Psychology Comparative,BF38-64:Philosophy
139,Attention Human information processing,BF309-499:Consciousness. Congition
140,Psychology  Methodology Prediction theory Causation,BF38-64:Philosophy
141,Teenagers and death Grief in adolescence Bereavement in adolescence Teenagers  Counseling of,BF712-724:Developmental psychology
142,Occultism  Russia Federation  Congresses New Age movement  Russia Federation  Congresses Cults  Russia Federation  Congresses Sects  Russia Federation  Congresses,BF1404-1443:Occult sciences
143,Childbirth  Psychological aspects Prenatal influences Psychology Pathological,BF712-724:Developmental psychology
144,Brothers Sibling rivalry,BF712-724:Developmental psychology
145,Senses and sensation Knowledge Theory of,BF231-299:Sensation. Aesthesiology
146,Freud Sigmund 18561939 Psychoanalysis,BF173-175:Psychoanalysis
147,Influence Psychology Persuasion Psychology Selling  Psychological aspects,BF728-794:Psychology
148,Attention in infants Interpersonal communication in infants Social interaction in infants Visual perception in infants,BF712-724:Developmental psychology
149,Visual perception in children Cognition in children Infant psychology Newborn infants,BF712-724:Developmental psychology
150,Interpersonal communication Social interaction,BF636-637:Applied psychology
151,Play  Psychological aspects Games Child psychology Perceptualmotor learning,BF712-724:Developmental psychology
152,Adolescent psychology Teenagers  Family relationships Teenagers  Conduct of life Parent and teenager,BF712-724:Developmental psychology
153,Infant psychology Social perception in children,BF712-724:Developmental psychology
154,Symbolism Psychology  Dictionaries Signs and symbols  Dictionaries,BF309-499:Consciousness. Congition
155,Psycholinguistics,BF309-499:Consciousness. Congition
156,Psychology,BF65-172:Psychology
157,Personality Ontology,BF698:Personality
158,Involuntary memory,BF309-499:Consciousness. Congition
159,Emotions Emotions and cognition Affect Psychology,BF511-593:Affection. Feeling. Emotion
160,Psychometrics  Congresses,BF38-64:Philosophy
161,Genetic psychology Attachment behavior,BF699-711:Genetic Psychology
162,Expertise Expertise  Social aspects,BF309-499:Consciousness. Congition
163,Psychology  Statistical methods Social sciences  Statistical methods Psychometrics,BF38-64:Philosophy
164,Creative ability Creative thinking,BF309-499:Consciousness. Congition
165,Personality Psychology Pathological Jung C G Carl Gustav 18751961 SaintExupéry Antoine de 19001944 Petit prince English,BF698:Personality
166,Human body  Social aspects Body image in adolescence Educational sociology Teenagers,BF712-724:Developmental psychology
167,Stress Psychology Stress management,BF511-593:Affection. Feeling. Emotion
168,Psychological tests Educational tests and measurements Counseling,BF176:Pyshological tests and testing
169,Psychology  History  Textbooks,BF65-172:Psychology
170,Senses and sensation Intersensory effects Poetry  Psychological aspects Music  Psychological aspects,BF231-299:Sensation. Aesthesiology
171,Psychology  Dictionaries,BF1-37:Psychology
172,Magic Egyptian Magic Greek Egypt  Religion Greece  Religion,BF1585-1623:Magic. Hermetics. Necromancy
173,Jung C G Carl Gustav 18751961 Jungian psychology,BF173-175:Psychoanalysis
174,Psychology  Research  Methodology Psychometrics,BF65-172:Psychology
175,Critical psychology,BF38-64:Philosophy
176,Maya chronology  Miscellanea Indian chronology  Mexico  Miscellanea Indian chronology  Central America  Miscellanea,BF1892-2049:Occult sciences
177,Spiritualism  History,BF1228-1389:Spiritualism
178,Typology Psychology Educational psychology Style Philosophy,BF698:Personality
179,Astrology Chinese,BF1651-1729:Astrology
180,Child development Adolescent psychology,BF712-724:Developmental psychology
181,Psychology Applied,BF636-637:Applied psychology
182,Freud Sigmund 18561939 Unbehagen in der Kultur,BF173-175:Psychoanalysis
183,Minnesota Multiphasic Personality Inventory,BF698:Personality
184,Experiential learning Success,BF309-499:Consciousness. Congition
185,Sex Psychology  Congresses,BF692:Psychology of Sex. Sexual Behavior
186,Freud Sigmund 18561939  Religion Psychoanalysis and religion Atheism,BF173-175:Psychoanalysis
187,Cognition in children  Study and teaching Cognition  Study and teaching,BF712-724:Developmental psychology
188,Motivation Psychology Emotions,BF501-505:Motivation
189,Quality of life,BF636-637:Applied psychology
190,Meaning Psychology Learning Psychology of,BF309-499:Consciousness. Congition
191,Behavior modification Success,BF636-637:Applied psychology
192,Selfperception  Testing Brigham Young University  Faculty Brigham Young University  Students,BF1-37:Psychology
193,Genius Enlightenment Lessing Gotthold Ephraim 17291781,BF309-499:Consciousness. Congition
194,Talismans  China  History Exorcism  China  History Chinese language  Writing  Religious aspects  History,BF1501-1561:Demonology. Satanism. Possession
196,Fear Anxiety Behavior therapy,BF511-593:Affection. Feeling. Emotion
197,Parapsychology Parapsychology  Research,BF1001-1045:Psychic research. Psychology of the conscious.
198,Hypnotism,BF1111-1156:Hypnotism. Suggestions. Mesmerism. Subliminal Projection
199,Hypnotism,BF1111-1156:Hypnotism. Suggestions. Mesmerism. Subliminal Projection
200,Hypnosis,BF1111-1156:Hypnotism. Suggestions. Mesmerism. Subliminal Projection
202,Personality assessment BenderGestalt Test DrawAPerson Test Wechsler Adult Intelligence Scale Rorschach Test,BF698:Personality
203,Witchcraft  China  History China  Social conditions,BF1562-1584:Witchcraft
204,Psychology  Research Psychology  Research  Developing countries,BF65-172:Psychology
205,Mormon women  Conduct of life Success  Psychological aspects Achievement motivation in women Goal Psychology,BF636-637:Applied psychology
206,Fantasy Subconsciousness Identity Psychology Psychology Pathological Psychology Religious Arlow Jacob A,BF173-175:Psychoanalysis
207,Race awareness Child psychology United States  Race relations,BF712-724:Developmental psychology
208,Personality Counseling Personality assessment Psychotherapy,BF698:Personality
209,Form perception Visual perception,BF231-299:Sensation. Aesthesiology
210,Interpersonal communication Animal communication Language and emotions Emotive Linguistics Affective neuroscience,BF636-637:Applied psychology
211,Personality,BF698:Personality
212,Sex Psychology Sex Biology Aggressiveness,BF692:Psychology of Sex. Sexual Behavior
213,Nature and nurture Conjoined twins  Psychology Conjoined twins  Case studies,BF309-499:Consciousness. Congition
214,Spiritualism  United States Spirit writings,BF1228-1389:Spiritualism
215,Affect Psychology Emotions Emotions  Health aspects Affect Behavioral Research Health behavior,BF511-593:Affection. Feeling. Emotion
216,Cognition in children Psycholinguistics Symbolism Psychology Children with mental disabilities Braindamaged children,BF712-724:Developmental psychology
217,Spiritualism  United States,BF1228-1389:Spiritualism
218,Astrology American Cults  United States Occultism  Religious aspects,BF1651-1729:Astrology
219,Rosicrucians Rosicrucians  United States,BF1585-1623:Magic. Hermetics. Necromancy
220,Life change events  Psychological aspects Life change events  Psychological aspects  Case studies Change Psychology Spiritual life,BF636-637:Applied psychology
221,Cognition Behavior evolution Cognition and culture Psychology Comparative Genetic psychology,BF309-499:Consciousness. Congition
222,Separation Psychology,BF511-593:Affection. Feeling. Emotion
223,Psychoanalysis Subconsciousness,BF173-175:Psychoanalysis
224,Astrology,BF1651-1729:Astrology
225,Psychology Comparative Human behavior  Animal models Animal experimentation  Moral and ethical aspects Animal psychology,BF660-685:Comparative psychology. Animal and human psychology
227,Social perception  Philosophy Neurosciences  Philosophy,BF309-499:Consciousness. Congition
228,Twins  Psychology Sibling attachment Therapist and patient Attachment behavior,BF712-724:Developmental psychology
229,Cognition Neurophysiology Brain  Evolution,BF309-499:Consciousness. Congition
230,Courage Fear,BF511-593:Affection. Feeling. Emotion
231,Psychology,BF65-172:Psychology
232,Emotions  Study and teaching,BF511-593:Affection. Feeling. Emotion
233,Parapsychology Supernatural,BF1001-1045:Psychic research. Psychology of the conscious.
234,Cabala Symbolism,BF1892-2049:Occult sciences
235,Face perception Facial expression,BF231-299:Sensation. Aesthesiology
236,Intellect Evolutionary psychology,BF309-499:Consciousness. Congition
237,Cognition in infants Motor ability in infants Perception in infants Infant psychology Developmental psychology,BF712-724:Developmental psychology
238,Persuasion Psychology,BF636-637:Applied psychology
239,Emotions Psychology and literature Literature  Psychology,BF511-593:Affection. Feeling. Emotion
240,Vigilance Psychology  Congresses Psychophysiology  Congresses Chronobiology  Congresses,BF309-499:Consciousness. Congition
241,Attention Visual discrimination,BF309-499:Consciousness. Congition
242,Psychoanalysis Developmental psychology Erikson Erik H Erik Homburger 19021994,BF173-175:Psychoanalysis
243,Children  Death  History  To 1500 Children  Europe  History  To 1500 Death  Europe  History  To 1500 Emotions Philosophy  History Europe  Social life and customs  To 1500,BF511-593:Affection. Feeling. Emotion
244,Fear Emotions Critical thinking Fear  Social aspects Critical thinking  Social aspects Psychotherapy,BF511-593:Affection. Feeling. Emotion
245,Group counseling,BF636-637:Applied psychology
246,Biofeedback training  Bibliography,BF309-499:Consciousness. Congition
247,Cosmology  Miscellanea Consciousness  Miscellanea,BF1892-2049:Occult sciences
248,Psychology Psychology  Research  Methodology,BF65-172:Psychology
249,Psychoanalysis  Germany  History Psychoanalysis  Switzerland  History Psychoanalysis  Austria  History Sociology Psychology Theology,BF65-172:Psychology
250,Islamic occultism Metaphysics Uncanny The Psychoanalysis Mysticism  Islam Islam and science  Iran,BF1404-1443:Occult sciences
251,Exorcism  Sri Lanka Demonology  Sri Lanka,BF1501-1561:Demonology. Satanism. Possession
252,Moral development,BF712-724:Developmental psychology
253,Psychoanalysis,BF173-175:Psychoanalysis
254,Creative ability  Social aspects Creative thinking,BF309-499:Consciousness. Congition
255,Psychoanalysis and philosophy,BF173-175:Psychoanalysis
256,Personality Individuality,BF698:Personality
257,Demonology,BF1501-1561:Demonology. Satanism. Possession
258,Masculinity  United States Homophobia  United States Singlesex schools  United States,BF692:Psychology of Sex. Sexual Behavior
259,Emotions Stereotypes Social psychology Intergroup relations Prejudices Cognition,BF309-499:Consciousness. Congition
260,Memory Psychology,BF309-499:Consciousness. Congition
262,Cognition in children,BF712-724:Developmental psychology
263,Learning Psychology of  Congresses Individualized instruction  Psychological aspects  Congresses Cognitive psychology  Congresses,BF309-499:Consciousness. Congition
264,Ghosts  China Ghost  China  Folklore,BF1444-1486:Ghosts. Apparitions. Hauntings
265,Negotiation,BF636-637:Applied psychology
266,Magic Egyptian,BF1585-1623:Magic. Hermetics. Necromancy
267,Demonology Demoniac possession Exorcism,BF1501-1561:Demonology. Satanism. Possession
268,Parapsychology  Iceland  History  To 1500 Parapsychology in literature,BF1001-1045:Psychic research. Psychology of the conscious.
269,Humanistic psychology,BF204-206:Psychology
270,Problem solving,BF309-499:Consciousness. Congition
271,Psychoanalysis and religion Mysticism  Psychology Mysticism  Hinduism Ramakrishna 18361886  Psychology Gurus  India  Psychology Psychotherapy  Religious aspects  Hinduism Psychology Religious  India Freud Sigmund 18561939,BF173-175:Psychoanalysis
272,Demonology  Early works to 1800 Visions  Early works to 1800,BF1501-1561:Demonology. Satanism. Possession
273,Children and death,BF712-724:Developmental psychology
274,Cognition Psychology  Mathematical models Factor analysis,BF309-499:Consciousness. Congition
276,Sublimation Psychology Psychoanalysis,BF173-175:Psychoanalysis
277,Decision making Success,BF309-499:Consciousness. Congition
278,Brothers and sisters Families,BF712-724:Developmental psychology
279,Child psychology Child psychology  Soviet Union,BF712-724:Developmental psychology
280,Freud Sigmund 18561939  Psychology Freud Sigmund 18561939  Influence Egoideal,BF65-172:Psychology
281,Archetype Psychology Self Civilization Modern  20th century  Psychological aspects Dreams  Therapeutic use Jung C G Carl Gustav 18751961,BF173-175:Psychoanalysis
282,Adulthood Marriage,BF712-724:Developmental psychology
283,Nature and nurture  Econometric models Heredity Families Equality Social stratification,BF309-499:Consciousness. Congition
284,Interpersonal relations Social psychology  Research,BF636-637:Applied psychology
285,Perception  Mathematical models Senses and sensation  Mathematical models Human information processing  Mathematical models,BF309-499:Consciousness. Congition
286,Visualization Imagery Psychology Fantasy  Therapeutic use,BF309-499:Consciousness. Congition
287,Aversion,BF511-593:Affection. Feeling. Emotion
288,Motivation Psychology Act Philosophy Linguistics  Research,BF660-685:Comparative psychology. Animal and human psychology
289,Decision making,BF309-499:Consciousness. Congition
290,Mind and body,BF65-172:Psychology
291,Witchcraft  England  History English imprints Pamphlets  England,BF1562-1584:Witchcraft
292,Assertiveness Psychology Autonomy Psychology,BF511-593:Affection. Feeling. Emotion
293,Phrenology,BF840-885:Physiognomy. Phrenology
294,Psychology  Research Psychology Applied,BF65-172:Psychology
295,Cognition and culture Vygotskiĭ L S Lev Semenovich 18961934 Semiotics Psycholinguistics Cognition in children Interpersonal communication,BF309-499:Consciousness. Congition
296,Psychology  Research Qualitative research,BF65-172:Psychology
297,Time  Psychological aspects Thought and thinking Emotions Human behavior,BF309-499:Consciousness. Congition
298,Behaviorism Psychology,BF199-202:Psychology
299,Persuasion Psychology Influence Psychology Success  Psychological aspects,BF636-637:Applied psychology
300,Witchcraft  Middle East  History Magic AssyroBabylonian Jewish magic,BF1562-1584:Witchcraft
301,Success Perseverance Ethics Expectation Psychology Diligence,BF636-637:Applied psychology
302,Self Identity Psychology Narration Rhetoric Psychology  Biographical methods,BF697:Differential psychology. Individuality. Self
303,Experiential learning Organizational behavior,BF309-499:Consciousness. Congition
304,Psychoanalysis and feminism Object relations Psychoanalysis  History Mother and child  History Femininity  History Klein Melanie Winnicott D W Donald Woods 18961971 Chodorow Nancy Kristeva Julia 1941,BF173-175:Psychoanalysis
305,Lacan Jacques 19011981 Psychoanalysis  France Psychoanalysis  Social aspects  France Psychoanalysis  France  Political aspects France  History  20th century,BF173-175:Psychoanalysis
306,Negotiation  Congresses,BF636-637:Applied psychology
308,Witchcraft Psychoanalysis Witchcraft  History Rites and ceremonies  Psychological aspects,BF1562-1584:Witchcraft
309,Psychology  Dictionaries,BF1-37:Psychology
310,Mother and infant Attachment behavior Maternal deprivation in infants Feminist psychology,BF712-724:Developmental psychology
311,Wittgenstein Ludwig 18891951 Psychology  Philosophy,BF38-64:Philosophy
312,Mind and body Identity Philosophical concept,BF65-172:Psychology
313,Freud Sigmund 18561939  Congresses Psychoanalysis  History  Congresses,BF65-172:Psychology
314,Masculinity  United States  History  20th century Patriarchy  United States  History  20th century Sex role  United States  History  20th century Vietnam War 19611975  Social aspects Vietnam War 19611975  Motion pictures and the war Vietnam War 19611975  Literature and the conflict,BF692:Psychology of Sex. Sexual Behavior
315,Cognitive science,BF309-499:Consciousness. Congition
316,Cognition in children Children with mental disabilities  Psychology Learning disabled children  Psychology Gifted children  Psychology,BF712-724:Developmental psychology
317,Cognition Human information processing Developmental psychology,BF309-499:Consciousness. Congition
319,Psychoanalysis and philosophy,BF173-175:Psychoanalysis
320,Myth  Psychological aspects Jung C G Carl Gustav 18751961,BF173-175:Psychoanalysis
321,Attention,BF309-499:Consciousness. Congition
322,Trials Witchcraft  Germany  History  16th century Trials Witchcraft  Germany  History  17th century,BF1562-1584:Witchcraft
323,Consciousness,BF309-499:Consciousness. Congition
324,Psychology  History  20th century Psychologists  History  20th century,BF65-172:Psychology
327,Psychoanalysis and religion Liminality Cerebral dominance Nature,BF173-175:Psychoanalysis
329,Psychological tests for children Psychological tests for children  Case studies Mental illness  Diagnosis  Case studies,BF712-724:Developmental psychology
330,Selfdisclosure Interpersonal relations Psychotherapy,BF697:Differential psychology. Individuality. Self
331,Selfperception Ability Values Vocational guidance,BF697:Differential psychology. Individuality. Self
332,Personality in children  Bibliography Child psychology  Bibliography Child development  Bibliography,BF712-724:Developmental psychology
333,Negotiation,BF636-637:Applied psychology
334,Occultism Magic Demonology,BF1585-1623:Magic. Hermetics. Necromancy
335,Animal behavior Human behavior Decision making,BF660-685:Comparative psychology. Animal and human psychology
336,Thought and thinking Decision making Intuition Reasoning,BF309-499:Consciousness. Congition
337,Paul the Apostle Saint Ephesus Extinct city,BF1228-1389:Spiritualism
338,Personality,BF698:Personality
340,Freud Sigmund 18561939  Literary art Psychoanalysts as authors,BF173-175:Psychoanalysis
341,Children  Death  Psychological aspects Mother and child Bereavement  Psychological aspects Mothers  Psychology,BF511-593:Affection. Feeling. Emotion
342,Memory  Philosophy Connectionism Psycholinguistics Human information processing,BF309-499:Consciousness. Congition
343,Personality Personality  Study and teaching Lifestyles  Psychological aspects,BF698:Personality
344,Love,BF511-593:Affection. Feeling. Emotion
345,Psychology  Research  Methodology Qualitative research Grounded theory Discourse analysis Discourse analysis Narrative Phenomenological psychology,BF65-172:Psychology
346,Form perception Dots Art  Psychological aspects,BF231-299:Sensation. Aesthesiology
347,Freud Sigmund 18561939 Jenseits des Lustprinzips Psychoanalysis Pleasure principle Psychology Death instinct,BF173-175:Psychoanalysis
348,Cognition  Mathematical models Fuzzy sets,BF309-499:Consciousness. Congition
349,Philosophy and cognitive science Philosophy of mind,BF309-499:Consciousness. Congition
350,Anger Emotional intelligence Emotionfocused therapy,BF511-593:Affection. Feeling. Emotion
351,Astrology Chinese Philosophy Chinese,BF1651-1729:Astrology
352,Psychology  Study and teaching Higher,BF65-172:Psychology
353,Listening Parent and child Child psychology,BF309-499:Consciousness. Congition
354,Choice Psychology Consumers preferences Aesthetics  Psychological aspects,BF608-635:Will. Volition. Choice. Control
355,Counseling Psychotherapy,BF636-637:Applied psychology
356,Emotions Critical thinking,BF511-593:Affection. Feeling. Emotion
357,Emotions Imitation Emotions  Social aspects Social interaction,BF511-593:Affection. Feeling. Emotion
358,Ghosts  North Carolina Ghosts  South Carolina,BF1444-1486:Ghosts. Apparitions. Hauntings
359,Reference Philosophy Intentionalism,BF65-172:Psychology
361,Human behavior Practical reason Choice Psychology Political planning Social policy Social change,BF199-202:Psychology
362,Child psychology,BF712-724:Developmental psychology
363,Witchcraft  Massachusetts  Salem,BF1562-1584:Witchcraft
364,Genius  Mathematical models Leadership  Mathematical models Creative ability  Mathematical models Personality and history,BF309-499:Consciousness. Congition
366,Feng shui,BF1745-1779:Oracles. Sibyls. Diviniations
367,Movement Psychology of Motor learning,BF231-299:Sensation. Aesthesiology
373,Counseling Pastoral theology  Catholic Church,BF636-637:Applied psychology
375,Adolescent psychology Selfperception in adolescence,BF712-724:Developmental psychology
